client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20349075.mp3	Trebuie să ai totuşi ceva inteligenţă, ca să te doară că nu ai destulă.	0	2	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20349100.mp3	Micii meșteșugari din atelierele pentru reparat pantofi sunt harnici.	0	2	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20349481.mp3	Acesta este un lucru foarte bun.	1	2	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20349482.mp3	Jigneşte-mă pentru a-mi da forţa de a te ucide.	1	2	thirties	male		ro	
e998bf33a6efb77800766d0daab8508bb5fb793e22d7f15abca3fbbb8d82bb45089f5c1ce17b9777b03141d4818cc3937bd04d7038f78385826db20b2435de19	common_voice_ro_20349758.mp3	Practic, ea întâmpina clienții și îi organiza pe terasă.	0	2	teens	male		ro	
e998bf33a6efb77800766d0daab8508bb5fb793e22d7f15abca3fbbb8d82bb45089f5c1ce17b9777b03141d4818cc3937bd04d7038f78385826db20b2435de19	common_voice_ro_20349778.mp3	Artistului nu-i place neseriozitatea persoanelor cu care lucrează.	0	2	teens	male		ro	
e998bf33a6efb77800766d0daab8508bb5fb793e22d7f15abca3fbbb8d82bb45089f5c1ce17b9777b03141d4818cc3937bd04d7038f78385826db20b2435de19	common_voice_ro_20349829.mp3	Până în prezent, proiectul avea susținerea ambelor partide, care și-au împărțit deja conducerea.	1	2	teens	male		ro	
e998bf33a6efb77800766d0daab8508bb5fb793e22d7f15abca3fbbb8d82bb45089f5c1ce17b9777b03141d4818cc3937bd04d7038f78385826db20b2435de19	common_voice_ro_20349831.mp3	Fermierii noştri au nevoie de salarii echitabile.	1	2	teens	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20352043.mp3	Ele sunt doar o variaţiune pe aceeaşi temă.	1	2	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20352179.mp3	Avem câteva rase care vin din Ungaria, menționează Liviu Pop.	1	2	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20355187.mp3	Acesta susține relocalizarea producției de textile.	1	2	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20355349.mp3	Aceşti paşi sunt semnificativi în contextul bielorus.	1	2	thirties	male		ro	
97988c568e633132ce1152b381d35bb9ef99adac4dc3e572a56257a882578cdfadd0aa9feebee04d64d12f92f1eb4649d584c6a2c98cbb230fe367c1ab2c5d71	common_voice_ro_20356834.mp3	Există alte modalităţi de a realiza economii.	0	2	teens	male		ro	
97988c568e633132ce1152b381d35bb9ef99adac4dc3e572a56257a882578cdfadd0aa9feebee04d64d12f92f1eb4649d584c6a2c98cbb230fe367c1ab2c5d71	common_voice_ro_20357014.mp3	Desigur, a fost afectată de criză.	1	2	teens	male		ro	
97988c568e633132ce1152b381d35bb9ef99adac4dc3e572a56257a882578cdfadd0aa9feebee04d64d12f92f1eb4649d584c6a2c98cbb230fe367c1ab2c5d71	common_voice_ro_20357360.mp3	Și așa, mai trebuie renovate că sunt unele care arată tare rău.	0	2	teens	male		ro	
97988c568e633132ce1152b381d35bb9ef99adac4dc3e572a56257a882578cdfadd0aa9feebee04d64d12f92f1eb4649d584c6a2c98cbb230fe367c1ab2c5d71	common_voice_ro_20357371.mp3	Doamnă președintă, aceasta este o chestiune concretă.	1	2	teens	male		ro	
97988c568e633132ce1152b381d35bb9ef99adac4dc3e572a56257a882578cdfadd0aa9feebee04d64d12f92f1eb4649d584c6a2c98cbb230fe367c1ab2c5d71	common_voice_ro_20357423.mp3	Credeți că este de bun gust?	0	2	teens	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20358252.mp3	Le consider ca fiind minoritatea cea mai numeroasă.	1	2	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20358504.mp3	Din aceste motive, această propunere trebuie salutată.	0	2	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20358538.mp3	Dar nu despre asta este vorba aici.	1	2	thirties	male		ro	
2904a21770a481f720667c49c212ae81e5b342e1e8b09026a749b11d920e7f14246ae144d2943634c1a7f4ccb91bbfdbc2bd9309e37b243889fdf0ade5228e45	common_voice_ro_20374140.mp3	Aceasta este, de fapt, cheia tuturor lucrurilor.	1	2	fourties	male		ro	
7ae613f8917ed5b964128121375eda48e9eaa63e1b33c7a8bdf4539db9488bdd5cac52a41fc1895ba623122e18c403c54338c12c3ac08adf4fe6c67ee76324cd	common_voice_ro_20379367.mp3	Cu toții vă dorim un mandat de succes.	3	5				ro	
7ae613f8917ed5b964128121375eda48e9eaa63e1b33c7a8bdf4539db9488bdd5cac52a41fc1895ba623122e18c403c54338c12c3ac08adf4fe6c67ee76324cd	common_voice_ro_20379368.mp3	Repet, am fost ocupat cu i me me-urile.	0	2				ro	
7ae613f8917ed5b964128121375eda48e9eaa63e1b33c7a8bdf4539db9488bdd5cac52a41fc1895ba623122e18c403c54338c12c3ac08adf4fe6c67ee76324cd	common_voice_ro_20379371.mp3	Chestiunile instituţionale sunt extrem de importante.	3	4				ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20382678.mp3	Invazia era asemănătoare unui proiect feminist.	4	7	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20382687.mp3	La fața locului s-au deplasat mai multe echipaje de prim ajutor.	4	8	thirties	male		ro	
b857f50db91f0dde263d96733dd644a702e130919d233ce11a67a214357c30d40d692753ff8eb61756e288ea78fe2300678a4a1213dfa44d98ac9feeadb935bd	common_voice_ro_20382706.mp3	Domnule vicepreşedinte, vă mulţumesc mult încă o dată.	3	4	thirties	male		ro	
